first,second
map00051,"Dict{String, Any}(""mean_diff"" => 0.19736842105263158, ""min_diff"" => -7, ""rclass_coverage"" => 0.8941176470588236, ""median_ma"" => 9.0, ""max_diff"" => 16, ""q3_ma"" => 19.0, ""sdev_ma"" => 10.885143993594932, ""mean_ma"" => 13.44927536231884, ""q3_diff"" => 1.0, ""q1_ma"" => 6.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 76, ""num_reactions"" => 85, ""super_pathway"" => ""Carbohydrate metabolism"", ""sdev_diff"" => 3.8540705298583733, ""min_ma"" => 3, ""max_ma"" => 45, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00920,"Dict{String, Any}(""mean_diff"" => 0.328125, ""min_diff"" => -11, ""rclass_coverage"" => 0.927536231884058, ""median_ma"" => 6.0, ""max_diff"" => 34, ""q3_ma"" => 20.0, ""sdev_ma"" => 13.314521817476967, ""mean_ma"" => 13.236842105263158, ""q3_diff"" => 1.0, ""q1_ma"" => 3.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 64, ""num_reactions"" => 69, ""super_pathway"" => ""Energy metabolism"", ""sdev_diff"" => 5.896069951502939, ""min_ma"" => 0, ""max_ma"" => 45, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00830,"Dict{String, Any}(""mean_diff"" => -0.896551724137931, ""min_diff"" => -11, ""rclass_coverage"" => 0.90625, ""median_ma"" => 11.5, ""max_diff"" => 4, ""q3_ma"" => 20.75, ""sdev_ma"" => 10.22701078734061, ""mean_ma"" => 15.947368421052632, ""q3_diff"" => 0.0, ""q1_ma"" => 10.0, ""origin"" => String15(""Eukaryotic""), ""num_with_rclass"" => 29, ""num_reactions"" => 32, ""super_pathway"" => ""Metabolism of cofactors & vitamins"", ""sdev_diff"" => 2.7300553053818066, ""min_ma"" => 0, ""max_ma"" => 42, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00770,"Dict{String, Any}(""mean_diff"" => -0.5588235294117647, ""min_diff"" => -14, ""rclass_coverage"" => 0.9714285714285714, ""median_ma"" => 8.0, ""max_diff"" => 18, ""q3_ma"" => 19.0, ""sdev_ma"" => 9.658555615476017, ""mean_ma"" => 12.127659574468085, ""q3_diff"" => 0.0, ""q1_ma"" => 5.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 34, ""num_reactions"" => 35, ""super_pathway"" => ""Metabolism of cofactors & vitamins"", ""sdev_diff"" => 4.56064307314678, ""min_ma"" => 0, ""max_ma"" => 33, ""median_diff"" => -1.0, ""q1_diff"" => -2.0)"
map00565,"Dict{String, Any}(""mean_diff"" => -0.9354838709677419, ""min_diff"" => -4, ""rclass_coverage"" => 0.96875, ""median_ma"" => 11.0, ""max_diff"" => 4, ""q3_ma"" => 18.0, ""sdev_ma"" => 9.0375199959263, ""mean_ma"" => 13.777777777777779, ""q3_diff"" => 0.5, ""q1_ma"" => 8.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 31, ""num_reactions"" => 32, ""super_pathway"" => ""Lipid metabolism"", ""sdev_diff"" => 2.528971910625182, ""min_ma"" => 2, ""max_ma"" => 37, ""median_diff"" => -2.0, ""q1_diff"" => -3.0)"
map00010,"Dict{String, Any}(""mean_diff"" => 0.19642857142857142, ""min_diff"" => -4, ""rclass_coverage"" => 1.0, ""median_ma"" => 10.0, ""max_diff"" => 4, ""q3_ma"" => 19.0, ""sdev_ma"" => 10.86981789987627, ""mean_ma"" => 14.352941176470589, ""q3_diff"" => 2.0, ""q1_ma"" => 7.5, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 56, ""num_reactions"" => 56, ""super_pathway"" => ""Carbohydrate metabolism"", ""sdev_diff"" => 2.0751310395174642, ""min_ma"" => 1, ""max_ma"" => 45, ""median_diff"" => 0.0, ""q1_diff"" => -1.0)"
map00360,"Dict{String, Any}(""mean_diff"" => -0.53125, ""min_diff"" => -5, ""rclass_coverage"" => 1.0, ""median_ma"" => 8.0, ""max_diff"" => 4, ""q3_ma"" => 30.25, ""sdev_ma"" => 14.120477924822405, ""mean_ma"" => 14.90625, ""q3_diff"" => 1.0, ""q1_ma"" => 6.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 64, ""num_reactions"" => 64, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 2.152656166559948, ""min_ma"" => 0, ""max_ma"" => 42, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00250,"Dict{String, Any}(""mean_diff"" => -0.6170212765957447, ""min_diff"" => -4, ""rclass_coverage"" => 1.0, ""median_ma"" => 6.0, ""max_diff"" => 4, ""q3_ma"" => 14.0, ""sdev_ma"" => 9.69297299543314, ""mean_ma"" => 10.745098039215685, ""q3_diff"" => 0.0, ""q1_ma"" => 4.0, ""origin"" => String15(""Eukaryotic""), ""num_with_rclass"" => 47, ""num_reactions"" => 47, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 2.162458257846558, ""min_ma"" => 0, ""max_ma"" => 37, ""median_diff"" => -1.0, ""q1_diff"" => -2.0)"
map00650,"Dict{String, Any}(""mean_diff"" => -0.11267605633802817, ""min_diff"" => -7, ""rclass_coverage"" => 0.9861111111111112, ""median_ma"" => 4.0, ""max_diff"" => 34, ""q3_ma"" => 33.0, ""sdev_ma"" => 15.8739457495612, ""mean_ma"" => 15.017241379310345, ""q3_diff"" => 1.0, ""q1_ma"" => 3.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 71, ""num_reactions"" => 72, ""super_pathway"" => ""Carbohydrate metabolism"", ""sdev_diff"" => 4.602947179407832, ""min_ma"" => 0, ""max_ma"" => 41, ""median_diff"" => -1.0, ""q1_diff"" => -2.0)"
map00260,"Dict{String, Any}(""mean_diff"" => -0.68, ""min_diff"" => -5, ""rclass_coverage"" => 1.0, ""median_ma"" => 6.5, ""max_diff"" => 3, ""q3_ma"" => 13.0, ""sdev_ma"" => 10.943750022591072, ""mean_ma"" => 10.7375, ""q3_diff"" => 0.0, ""q1_ma"" => 4.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 75, ""num_reactions"" => 75, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 1.8244584535276893, ""min_ma"" => 0, ""max_ma"" => 45, ""median_diff"" => -1.0, ""q1_diff"" => -2.0)"
