id,n_atoms,hybr,n_rings,counted_rings,counted_atoms,sp,sp2,sp3,ma
C17268,"Dict{Symbol, Any}(:H => 8, :O => 2, :C => 9)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C04043,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,10,1,7
C03005,"Dict{Symbol, Any}(:N => 1, :H => 9, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",1,11,0,10,1,8
C00642,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,10,1,7
C04350,"Dict{Symbol, Any}(:N => 1, :H => 9, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""none""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,11,0,10,1,8
C05842,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,11,0,10,1,7
C13636,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C18320,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C16398,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C03277,"Dict{Symbol, Any}(:N => 2, :H => 6, :O => 3, :C => 6)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1,11,0,10,1,9
C02519,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,11,0,10,1,7
C16571,"Dict{Symbol, Any}(:N => 1, :H => 9, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]",1,11,0,10,1,7
C22450,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 1, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0]",2,11,0,10,1,9
C14082,"Dict{Symbol, Any}(:H => 10, :C => 11)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0]",2,11,0,10,1,5
C14098,"Dict{Symbol, Any}(:H => 10, :C => 11)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0]",2,11,0,10,1,5
C16614,"Dict{Symbol, Any}(:N => 4, :H => 6, :S => 1, :C => 6)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 0]",2,11,0,10,1,9
C03742,"Dict{Symbol, Any}(:N => 1, :H => 7, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp"", ""sp3"", ""sp2"", ""sp"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,11,2,7,2,7
C04178,"Dict{Symbol, Any}(:N => 1, :H => 3, :Br => 2, :O => 1, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp"", ""sp2"", ""sp2"", ""sp"", ""sp2"", ""sp3"", ""sp3"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,2,7,2,7
C20846,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 4, :C => 5)","[""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,11,0,9,2,8
C01044,"Dict{Symbol, Any}(:N => 1, :H => 7, :O => 5, :C => 5)","[""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,11,0,9,2,7
C22388,"Dict{Symbol, Any}(:N => 1, :H => 5, :O => 6, :C => 4)","[""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,11,0,9,2,7
C03409,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 4, :C => 5)","[""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,11,0,9,2,7
C17236,"Dict{Symbol, Any}(:N => 1, :H => 11, :O => 1, :C => 9)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,8
C13635,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,7
C06557,"Dict{Symbol, Any}(:N => 5, :H => 9, :O => 1, :C => 5)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,9,2,7
