cpd	ma
C07093	6
C06727	7
C00521	4
C06099	4
C00522	5
C11638	8
C00118	7
C06007	5
C20314	7
C17213	7
C00111	7
C01181	7
C16593	6
C21214	8
C20345	8
C07185	6
C01186	6
C22316	7
C00739	6
C00418	5
C05690	8
C01996	6
C03172	8
C20277	6
C01142	6
C05161	6
C06423	6
C17246	7
C20310	7
C00047	6
C02266	5
C04404	6
C02753	5
C00652	5
C01114	5
C21752	7
C06989	5
C10165	6
C11359	6
C06179	6
C06182	6
C06305	5
C06307	5
C09880	5
C06076	5
C06304	5
C00783	7
C11382	5
C16697	6
C09839	5
C06308	5
C00093	7
C13482	8
C06459	7
C00623	7
C00315	5
C00532	4
C01904	4
C06771	4
C00508	5
C00312	5
C21382	5
C01508	5
C00121	5
C20931	6
C21244	5
C00309	5
C00310	5
C00216	5
C00259	5
C20930	6
C00181	5
C12440	6
C00729	7
C02220	6
C02501	6
C03676	5
C16235	8
C00196	7
C00295	8
C02235	8
C03574	8
C20450	6
C05608	6
C03057	7
C00423	6
C02137	7
C00628	7
C21298	7
C05571	8
C12107	7
C00632	7
C15523	8
C12115	7
C00230	7
C00242	8
C07648	8
C05579	7
C00385	8
C14790	6
C02775	7
C22499	9
C11713	6
C05851	6
C05578	7
C11714	6
C03453	6
C04112	5
C16266	7
C07089	7
C03585	6
C03572	6
C16474	6
C06760	7
C02222	6
C06035	6
C16475	6
C06210	7
C12305	8
C01270	8
C21167	6
C05852	7
C02657	7
C04729	6
C02350	6
C04706	6
C05593	7
C06804	8
C00752	7
C05843	7
C02348	6
C14088	7
C16399	6
C14103	7
C17268	7
C04043	7
C03005	8
C00642	7
C04350	8
C05842	7
C13636	7
C18320	7
C16398	7
C03277	9
C02519	7
C16571	7
C22450	9
C14082	5
C14098	5
C16614	9
C03742	7
C04178	7
C20846	8
C01044	7
C22388	7
C03409	7
C17236	8
C13635	7
C06557	7
C16285	8
C06670	7
C07301	8
C03077	8
C05629	8
C16706	8
C14108	7
C10428	6
C02646	6
C01983	7
C06333	8
C10452	7
C06558	7
C00337	8
C17931	9
C01984	7
C06335	8
C07454	8
C07728	7
C03114	8
C11130	8
C03029	8
C02274	8
C17756	8
C21601	7
C16159	5
C00846	5
C05946	6
C01109	7
C20944	6
C00322	6
C01127	6
C02631	7
C00651	6
C02734	8
C04558	7
C02758	7
C04559	7
C06419	9
C12831	6
C08301	8
C05568	9
C05135	8
C04522	7
C06677	8
C03758	7
C06317	7
C00135	9
C03680	8
C16477	7
C07099	6
C18311	7
C16476	7
C18302	7
C06556	7
C16664	7
C17755	7
C06577	7
C16666	7
C14787	7
C07720	8
C14786	7
C06669	8
C20651	8
C20639	8
C20781	6
C20710	6
C19831	7
C19830	8
C04227	7
C06321	7
C04171	7
C02442	8
C05947	6
C11942	6
C03087	8
C01088	6
C06234	6
C09847	6
C17941	8
C16390	5
C16657	5
C02656	5
C01419	7
C02488	6
C03652	5
C00956	6
C01989	6
C01046	6
C20943	6
C04435	6
C03232	8
C03145	9
C19694	6
C06442	7
C00993	6
C19929	7
C02576	5
C06524	9
C01767	5
C02485	5
C17062	7
C16432	7
C08300	8
C06576	7
C16719	8
C11383	6
C09910	7
C17367	8
C17216	8
C03827	7
C16652	6
C16511	9
C16655	6
C05824	9
C03979	7
C16510	9
C21572	7
C18025	7
C00631	8
C01005	8
C09848	6
C22311	6
C01500	6
C11388	6
C11389	6
C00197	8
C21642	7
C11384	6
C04650	9
C09871	6
C18301	7
C00964	5
C11412	6
C11398	6
C01123	5
C11409	5
C02452	5
C11408	5
C11401	6
C11395	5
C04287	7
C11415	6
C12832	6
C09893	7
C11951	6
C09884	6
C11939	6
C01028	7
C16651	6
C05412	5
C00502	5
C17217	8
C20311	8
C16650	6
C22137	7
C20793	6
C15556	8
C00487	7
C00545	5
C16649	6
C16741	7
C00878	5
C17249	7
C00318	7
C05411	5
C18028	5
C02991	5
C01721	6
C00861	6
C11386	6
C09849	6
C21753	8
C00919	7
C11396	6
C11400	6
C11397	6
C17209	6
C06596	5
C11952	5
C11393	7
C11411	6
C11399	6
C11416	6
C06184	7
C17581	7
C11413	6
C00843	5
C11410	6
C21571	6
C02824	8
C06177	7
C11938	6
C19081	6
C11941	6
C00809	6
C10865	6
C07271	6
C00808	6
C16559	6
C07647	7
C00588	8
C16555	9
C07641	6
C16550	8
C16565	5
C06366	4
C01019	5
C02431	5
C00553	5
C20836	5
C03089	6
C00400	5
C02627	6
C17580	6
C00507	5
C02344	6
C09844	5
C02462	6
C10850	7
C02759	6
C01765	6
C07087	7
C00811	7
C06337	7
C16234	9
C02763	7
C05653	9
C22455	7
C12621	7
C01424	8
C01772	7
C10945	7
C03722	8
C14096	7
C05838	7
C06588	5
C14100	8
C05515	10
C01606	7
C03590	8
C03715	8
C14788	7
C16213	7
C05637	8
C09315	7
C00366	7
C14090	6
C16613	7
C03012	6
C14783	7
C22500	9
C02617	6
C14785	7
C14099	6
C05639	7
C16716	7
C14789	7
C02938	8
C07478	7
C00417	6
C02341	6
C00499	7
C05600	7
C18318	7
C07114	8
C14171	8
C00544	7
C06672	8
C18315	8
C12477	7
C00166	8
C06207	7
C16397	7
C05831	8
C17239	9
C16396	7
C16250	11
C01161	8
C14170	9
C12088	7
C12283	10
C21873	8
C00637	8
C16357	9
C16358	9
C16353	9
C18306	7
C16249	7
C03918	7
C06329	7
C03063	7
C07095	6
C06367	9
C07123	8
C00438	8
C07479	7
C06336	9
C05581	8
C10469	7
C12834	7
C06679	9
C01744	8
C01198	8
C18309	7
C19567	9
C11457	8
C06674	9
C12323	8
C03925	8
C18304	7
C12206	7
C10453	7
C19872	8
C05577	7
C05343	7
C14109	8
C16246	8
C03198	7
C16215	7
C07088	9
C15769	10
C02909	6
C00971	9
C07726	8
C14089	6
C07719	8
C22451	10
C06052	9
C00439	7
C01042	7
C16674	8
C01045	7
C03771	9
C06051	9
C05607	8
C00250	9
C00079	9
C02265	9
C14148	9
C14149	9
C05565	8
C21154	9
C06553	8
C22438	8
C14147	8
C01456	8
C06578	8
C21602	7
C05834	9
C00398	8
C00955	8
C18307	6
C06033	6
C17622	7
C04236	6
C18312	5
C12836	6
C16588	6
C03166	10
C01250	7
C03217	6
C18933	5
C00547	8
C06678	9
C18240	7
C01152	10
C04351	9
C03434	7
C05576	7
C05587	8
C06559	8
C03972	7
C19565	9
C10126	9
C20821	9
C06205	7
C04314	7
C04053	7
C04349	6
C11943	7
C22225	7
C00327	9
C16461	7
C11944	7
C00062	9
C00792	9
C00534	9
C06720	8
C00072	7
C02637	8
C16482	8
C16479	8
C16481	8
C06199	9
C02575	6
C00314	8
C16480	8
C06731	8
C12108	8
C11924	6
C05422	7
C06729	7
C16478	8
C20385	9
C00437	8
C02504	6
C20221	7
C04411	6
C19719	7
C06034	6
C05994	6
C16658	6
C02123	6
C19582	9
C06180	9
C19578	10
C22712	8
C02765	9
C16386	10
C11042	5
C17366	7
C00745	10
C01575	9
C17220	8
C16737	7
C20680	7
C00204	7
C18202	8
C16462	7
C06892	6
C01216	7
C17942	9
C16322	5
C03289	6
C11414	7
C11402	7
C11418	6
C17932	8
C02670	6
C00493	8
C11403	6
C11940	7
C21249	8
C21139	6
C12147	9
C01102	9
C04433	7
C17621	7
C17696	7
C19731	7
C18238	7
C21248	8
C21643	6
C11937	7
C19083	7
C21929	6
C20320	6
C03037	6
C19378	8
C17251	8
C01571	6
C02147	7
C17221	8
C01720	5
C12215	8
C01934	5
C01717	5
C00279	8
C18174	6
C00198	6
C21955	6
C02669	6
C01115	6
C16241	8
C18027	7
C03378	6
C01040	6
C09804	8
C01452	5
C07276	6
C00691	6
C20251	6
C19082	6
C20322	7
C03448	7
C20323	7
C22610	7
C00848	6
C00387	5
C00794	5
C00392	5
C01697	5
C00031	6
C01214	6
C00329	6
C00984	6
C00795	6
C15923	6
C01825	6
C12212	6
C21066	6
C00221	6
C07473	7
C06153	4
C02262	6
C06988	4
C00124	6
C01487	6
C00137	4
C00159	6
C00267	6
C16181	6
C07075	4
C00095	6
C00247	6
C16182	5
C01355	6
C19891	4
C10773	7
C03092	5
C09987	6
C10173	7
C15996	10
C04480	8
C01163	6
C04484	7
C04409	8
C12623	7
C01197	8
C10998	6
C21569	7
C21168	6
C14097	7
C05350	8
C06680	8
C12325	8
C03671	7
C07729	6
C14101	7
C14091	7
C09263	8
C14040	8
C08060	6
C11427	7
C02514	7
C02167	7
C06332	9
C11310	8
C05616	9
C06584	6
C01179	9
C06050	10
C21453	9
C22425	8
C11006	7
C02666	8
C05380	10
C01405	8
C21110	7
C07585	9
C16623	10
C16403	7
C14084	7
C16359	8
C07715	6
C02937	9
C05634	9
C05377	7
C02298	9
C00954	9
C02693	9
C16355	8
C21065	9
C05379	6
C04225	6
