cpd	ma
C09241	19
C11679	19
C21191	14
C09028	18
C03677	18
C05189	17
C11680	18
C16712	14
C11681	18
C22936	19
C15666	17
C02151	18
C22153	16
C19154	18
C20512	16
C20333	13
C18167	10
C20454	14
C10646	16
C20456	10
C20455	11
C20815	18
C05366	11
C02890	12
C02915	14
C22937	18
C07660	17
C11632	18
C10784	12
C20406	15
C08012	16
C11682	18
C09024	18
C11683	18
C20266	16
C22918	18
C22893	17
C11643	18
C22922	18
C05950	12
C20927	16
C20973	15
C00061	18
C00068	18
C05993	19
C11691	18
C11642	18
C21903	16
C03431	19
C00021	19
C22950	17
C21683	19
C01761	19
C22974	8
C02153	18
C04831	16
C01344	18
C08358	18
C00206	18
C11870	15
C11808	19
C11676	19
C11783	19
C22929	19
C21682	18
C01533	14
C22926	20
C22975	8
C06081	8
C11038	18
C05964	13
C21748	17
C01957	17
C08359	17
C11809	18
C11862	15
C05962	14
C00381	8
C00762	15
C11673	15
C01780	14
C21093	15
C03579	15
C11859	12
C06095	13
C05961	12
C05963	15
C05956	14
C20151	14
C19625	8
C14240	9
C08401	16
C05469	14
C06071	17
C01124	15
C00735	16
C09155	14
C05473	15
C01512	15
C18039	17
C08323	9
C11989	10
C20422	13
C05471	14
C05474	15
C05470	14
C05489	13
C08320	8
C21211	16
C05481	14
C05472	14
C05482	14
C21134	18
C21132	16
C06629	15
C10443	10
C19699	15
C12367	16
C08565	13
C18629	16
C22145	17
C06327	17
C22048	15
C20452	14
C05194	16
C16546	15
C12401	18
C20574	18
C20499	16
C06229	7
C21183	13
C09364	18
C11678	18
C21070	17
C20513	18
C05190	18
C02134	17
C11250	15
C10641	14
C21486	23
C16707	17
C22156	16
C21586	16
C03309	18
C21646	18
C18237	22
C16713	16
C21337	19
C15530	13
C21583	16
C01007	17
C00255	19
C05322	19
C16708	19
C05524	14
C18178	13
C05526	14
C21971	17
C11675	18
C01175	14
C20928	17
C05983	20
C20438	18
C08426	18
C17945	21
C00019	20
C00224	20
C05686	20
C00361	19
C22442	19
C22961	19
C19605	19
C19606	18
C08417	19
C03423	17
C00008	18
C15546	17
C00054	18
C16616	19
C00104	19
C16443	18
C22930	19
C11677	18
C13856	15
C22216	20
C05673	20
C01852	17
C16448	18
C15985	19
C17250	17
C01433	17
C18044	17
C03240	10
C11990	11
C21219	17
C17658	14
C03990	13
C20237	15
C02995	15
C02591	13
C00689	11
C16688	14
C04534	15
C05396	14
C21135	18
C12368	17
C06628	17
C12366	16
C12373	17
C20629	18
C18709	17
C12416	16
C17753	13
C08543	14
C08539	16
C17355	14
C12420	16
C05193	16
C16547	18
C20504	16
C20502	16
C11754	20
C20503	19
C09955	20
C07108	18
C16549	16
C20501	17
C20500	16
C21184	17
C04712	18
C20692	12
C21140	15
C20604	18
C06568	18
C20607	19
C21330	14
C13776	19
C21648	18
C21587	17
C00916	17
C16714	16
C14847	18
C14848	18
C16709	18
C06435	21
C21678	20
C04713	21
C00035	19
C01337	20
C04578	19
C11812	19
C22931	18
C03690	12
C00458	19
C00460	17
C22217	21
C00569	19
C13963	15
C04832	21
C12000	15
C08150	16
C02990	12
C17252	18
C05107	14
C22136	13
C05443	16
C06635	13
C04477	12
C01272	9
C11555	12
C04520	12
C05439	13
C05437	13
C01164	13
C01802	15
C00599	13
C17646	15
C17664	15
C02528	13
C17660	15
C15515	14
C17687	16
C07880	16
C04483	12
C20867	13
C15517	15
C20865	12
C17662	16
C00187	14
C01189	14
C21760	14
C03845	13
C20571	13
C21125	14
C16413	10
C16412	11
C16411	11
C12369	18
C12375	18
C01739	18
C20799	20
C12421	17
C12474	18
C12415	17
C12471	19
C06165	18
C06627	19
C20505	19
C18630	19
C12418	19
C12417	18
C20506	18
C16545	20
C12220	17
C05011	17
C12221	15
C22165	21
C06880	21
C12382	18
C06654	19
C16544	17
C22146	19
C18631	19
C12419	19
C16710	19
C07593	16
C11173	21
C07592	17
C10557	15
C09593	19
C10556	17
C22163	21
C22694	19
C22934	19
C21599	17
C06569	20
C12023	18
C22935	18
C21600	19
C22933	19
C21141	18
C21647	19
C20525	14
C20737	10
C06707	21
C21875	18
C21874	19
C22951	18
C05837	21
C11784	19
C05125	19
C14156	13
C22927	22
C16441	21
C16430	21
C02673	20
C09084	20
C05730	15
C19913	16
C00063	20
C21751	19
C00459	19
C00075	18
C16445	21
C09769	17
C19853	16
C11356	13
C00353	15
C15882	15
C07601	16
C14151	12
C05441	16
C05440	16
C17254	17
C01674	10
C06089	17
C22122	14
C15780	15
C19815	17
C21735	17
C01194	17
C11901	17
C11902	16
C05427	16
C05103	13
C15777	14
C05455	14
C15785	15
C15781	14
C04525	13
C08813	16
C17727	15
C20868	14
C17726	15
C17644	16
C17649	15
C17654	17
C17647	15
C01558	14
C17737	16
C17657	17
C17668	16
C00695	14
C20866	15
C17667	16
C17650	16
C13550	14
C21106	14
C03594	14
C15784	14
C01789	14
C05502	14
C06543	19
C15519	14
C22446	14
C15610	15
C05451	14
C15786	15
C05500	14
C05452	12
C15787	15
C12370	18
C12378	19
C15026	18
C01155	16
C01156	17
C12422	17
C22166	21
C22170	21
C12423	20
C22169	22
C19797	8
C18632	19
C12383	17
C20776	11
C14319	19
C12424	18
C16999	20
C20773	20
C16145	14
C10874	17
C07014	19
C09592	18
C10216	18
C20299	18
C10524	18
C11596	17
C01498	17
C20605	20
C06566	20
C20297	18
C17940	19
C04823	22
C20738	11
C16345	17
C03028	20
C20526	16
C05952	18
C16144	11
C21017	20
C14155	14
C14154	13
