first,second
rn:R03128,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00854:C00975_C03459""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[5], ""OUT"" => [""C03459""], ""IN"" => [""C00975""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C00975 <=> C03459"", ""RCLASS"" => Any[""RC00854""])"
rn:R00526,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00165:C00049_C01044"", ""RC00323:C00058_C01044""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 5], ""OUT"" => [""C00058"", ""C00049""], ""IN"" => [""C01044"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => -1, ""EQUATION"" => ""C01044 + C00001 <=> C00058 + C00049"", ""RCLASS"" => Any[""RC00165"", ""RC00323""])"
rn:R00476,"Dict{String, Any}(""MA_IN"" => Any[3], ""MAIN_PAIRS"" => Any[""RC00042:C00048_C00160""], ""ENZYME"" => 1, ""MA_OUT"" => Any[3], ""OUT"" => [""C00048"", ""C00030""], ""IN"" => [""C00160"", ""C00028""], ""MEAN_MA"" => 3.0, ""DIFF"" => 0, ""EQUATION"" => ""C00160 + C00028 <=> C00048 + C00030"", ""RCLASS"" => Any[""RC00042""])"
rn:R00479,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00311:C00048_C00311"", ""RC00313:C00042_C00311""], ""ENZYME"" => 4, ""MA_OUT"" => Any[4, 3], ""OUT"" => [""C00042"", ""C00048""], ""IN"" => [""C00311""], ""MEAN_MA"" => 4.75, ""DIFF"" => 1, ""EQUATION"" => ""C00311 <=> C00042 + C00048"", ""RCLASS"" => Any[""RC00311"", ""RC00313""])"
rn:R00473,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00307:C00024_C04348"", ""RC00308:C00048_C04348""], ""ENZYME"" => 4, ""MA_OUT"" => Any[37, 3], ""OUT"" => [""C00024"", ""C00048""], ""IN"" => [""C04348""], ""MEAN_MA"" => 29.5, ""DIFF"" => 1, ""EQUATION"" => ""C04348 <=> C00024 + C00048"", ""RCLASS"" => Any[""RC00307"", ""RC00308""])"
rn:R01749,"Dict{String, Any}(""MA_IN"" => Any[4, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00129:C00258_C03459""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5, 30], ""OUT"" => [""C03459"", ""C00004"", ""C00080""], ""IN"" => [""C00258"", ""C00003"", ""C00011""], ""MEAN_MA"" => 18.0, ""DIFF"" => -2, ""EQUATION"" => ""C00258 + C00003 + C00011 <=> C03459 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00129""])"
rn:R01745,"Dict{String, Any}(""MA_IN"" => Any[4, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00099:C00258_C01146""], ""ENZYME"" => 1, ""MA_OUT"" => Any[4, 30], ""OUT"" => [""C01146"", ""C00004"", ""C00080""], ""IN"" => [""C00258"", ""C00003""], ""MEAN_MA"" => 17.75, ""DIFF"" => -3, ""EQUATION"" => ""C00258 + C00003 <=> C01146 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00099""])"
rn:R08572,"Dict{String, Any}(""MA_IN"" => Any[4, 20], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00428:C00258_C00631""], ""ENZYME"" => 2, ""MA_OUT"" => Any[8, 19], ""OUT"" => [""C00631"", ""C00008""], ""IN"" => [""C00258"", ""C00002""], ""MEAN_MA"" => 12.75, ""DIFF"" => 3, ""EQUATION"" => ""C00258 + C00002 <=> C00631 + C00008"", ""RCLASS"" => Any[""RC00002"", ""RC00428""])"
rn:R00339,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC01382:C00036_C00898""], ""ENZYME"" => 4, ""MA_OUT"" => Any[4], ""OUT"" => [""C00036"", ""C00001""], ""IN"" => [""C00898""], ""MEAN_MA"" => 4.5, ""DIFF"" => -1, ""EQUATION"" => ""C00898 <=> C00036 + C00001"", ""RCLASS"" => Any[""RC01382""])"
rn:R01221,"Dict{String, Any}(""MA_IN"" => Any[3, 19, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00022:C00101_C00143"", ""RC02834:C00014_C00037""], ""ENZYME"" => 1, ""MA_OUT"" => Any[22, 1, 30], ""OUT"" => [""C00143"", ""C00014"", ""C00011"", ""C00004"", ""C00080""], ""IN"" => [""C00037"", ""C00101"", ""C00003""], ""MEAN_MA"" => 18.0, ""DIFF"" => -2, ""EQUATION"" => ""C00037 + C00101 + C00003 <=> C00143 + C00014 + C00011 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00022"", ""RC02834""])"
