cpd,ma
C00559,13.0
C00562,NaN
C00565,2.0
C00575,16.0
C00577,3.0
C00620,9.0
C00621,18.0
C00623,7.0
C00631,8.0
C00636,10.0
C00638,4.0
C00640,39.0
C00645,9.0
C00655,18.0
C00658,39.0
C00664,22.0
C00666,6.0
C00668,10.0
C00671,6.0
C00672,9.0
C00673,9.0
C00677,11.0
C00680,6.0
C00683,40.0
C00685,5.0
C00705,18.0
C00719,5.0
C00740,4.0
C00785,8.0
C00787,NaN
C00791,6.0
C00794,5.0
C00842,24.0
C00853,60.0
C00857,29.0
C00862,30.0
C00876,35.0
C00877,37.0
C00881,13.0
C00882,31.0
C00886,26.0
C00894,37.0
C00898,5.0
C00905,7.0
C00906,6.0
C00911,5.0
C00954,9.0
C00979,5.0
C00986,2.0
C00988,7.0
C01001,31.0
C01005,8.0
C01024,31.0
C01035,8.0
C01045,7.0
C01051,29.0
C01080,34.0
C01081,18.0
C01086,38.0
C01087,5.0
C01094,10.0
C01102,9.0
C01103,17.0
C01107,9.0
C01122,38.0
C01134,13.0
C01144,38.0
C01151,9.0
C01170,26.0
C01171,10.0
C01172,10.0
C01177,8.0
C01182,9.0
C01185,16.0
C01213,39.0
C01217,38.0
C01242,10.0
C01271,6.0
C01274,40.0
C01279,7.0
C01330,1.0
C01346,16.0
C01352,41.0
C01367,17.0
C01368,15.0
C01384,4.0
C01438,1.0
C01507,5.0
C01528,1.0
C01563,2.0
C01573,16.0
C01609,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01659,3.0
C01757,5.0
C01762,14.0
C01826,5.0
C01847,22.0
C01879,6.0
C01977,37.0
C01978,42.0
C02047,40.0
C02051,9.0
C02097,24.0
C02128,19.0
C02163,40.0
C02191,26.0
C02211,17.0
C02214,5.0
C02226,5.0
C02232,41.0
C02237,6.0
C02282,38.0
C02331,37.0
C02342,NaN
C02356,5.0
C02411,39.0
C02412,23.0
C02463,34.0
C02469,32.0
C02501,6.0
C02504,6.0
C02505,7.0
C02508,9.0
C02520,9.0
C02532,8.0
C02553,27.0
C02554,38.0
C02583,8.0
C02612,5.0
C02630,5.0
C02631,7.0
C02642,7.0
C02693,9.0
C02702,30.0
C02729,NaN
C02743,8.0
C02839,43.0
C02843,38.0
C02872,15.0
C02929,4.0
C02962,10.0
C02972,8.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03021,8.0
C03024,NaN
C03028,20.0
C03058,40.0
C03069,39.0
C03078,7.0
C03090,9.0
C03125,38.0
C03127,39.0
C03150,13.0
C03160,44.0
C03161,NaN
C03221,41.0
C03232,8.0
C03263,24.0
C03306,10.0
C03344,39.0
C03345,38.0
C03356,9.0
C03373,15.0
C03402,29.0
C03431,19.0
C03451,14.0
C03453,6.0
C03459,5.0
C03460,37.0
C03479,22.0
C03506,13.0
C03511,32.0
C03512,44.0
C03516,30.0
C03523,6.0
C03546,8.0
C03576,5.0
C03620,2.0
C03633,9.0
C03638,23.0
C03657,9.0
C03680,8.0
C03722,8.0
C03735,10.0
C03798,9.0
C03802,11.0
C03803,4.0
C03862,24.0
C03880,30.0
C03899,15.0
C03920,6.0
C04006,8.0
C04144,27.0
C04157,38.0
C04161,NaN
C04188,10.0
C04213,39.0
C04309,9.0
C04311,11.0
C04312,22.0
C04327,12.0
C04330,37.0
C04341,5.0
C04377,36.0
C04405,38.0
C04411,6.0
C04419,19.0
C04421,9.0
C04441,16.0
C04488,38.0
C04489,26.0
C04501,13.0
C04556,11.0
C04582,11.0
C04590,15.0
C04618,6.0
C04619,8.0
C04620,8.0
C04628,14.0
C04633,9.0
C04638,21.0
C04681,18.0
C04688,9.0
C04692,15.0
C04735,9.0
C04752,12.0
C04832,21.0
C04851,68.0
C04856,30.0
C04899,31.0
C05067,38.0
C05116,38.0
C05167,4.0
C05196,NaN
C05197,6.0
C05198,12.0
C05199,NaN
C05258,43.0
C05260,43.0
C05262,43.0
C05264,42.0
C05266,40.0
C05268,40.0
C05269,39.0
C05271,38.0
C05272,42.0
C05273,41.0
C05275,40.0
C05276,39.0
C05312,6.0
C05335,7.0
C05345,10.0
C05378,10.0
C05382,10.0
C05512,13.0
C05526,14.0
C05528,7.0
C05601,7.0
C05668,37.0
C05684,2.0
C05688,5.0
C05691,20.0
C05698,6.0
C05703,0.0
C05744,5.0
C05746,6.0
C05747,7.0
C05750,7.0
C05753,8.0
C05756,9.0
C05757,9.0
C05759,9.0
C05762,9.0
C05766,32.0
C05768,23.0
C05774,37.0
C05778,33.0
C05819,11.0
C05822,17.0
C05840,5.0
C05841,12.0
C05893,74.0
C05897,66.0
C05898,77.0
C05921,31.0
C05924,20.0
C05998,38.0
