cpd,ma
C01086,38.0
C01112,8.0
C01122,38.0
C01144,37.0
C01151,9.0
C01170,25.0
C01177,8.0
C01179,9.0
C01187,8.0
C01209,5.0
C01212,33.0
C01217,35.0
C01228,20.0
C01230,22.0
C01271,6.0
C01322,0.0
C01326,0.0
C01327,1.0
C01335,0.0
C01344,18.0
C01345,19.0
C01346,16.0
C01419,7.0
C01528,1.0
C01594,10.0
C01635,NaN
C01636,NaN
C01638,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01762,14.0
C01847,22.0
C01898,15.0
C01931,25.0
C01977,37.0
C01978,42.0
C02047,40.0
C02051,9.0
C02090,25.0
C02097,24.0
C02128,19.0
C02163,40.0
C02191,26.0
C02232,41.0
C02282,38.0
C02320,12.0
C02356,5.0
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02659,4.0
C02702,30.0
C02737,13.0
C02743,8.0
C02764,32.0
C02839,43.0
C02876,7.0
C02962,10.0
C02972,8.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03028,20.0
C03069,38.0
C03082,9.0
C03125,38.0
C03127,39.0
C03150,13.0
C03170,27.0
C03221,41.0
C03263,24.0
C03294,38.0
C03319,23.0
C03344,39.0
C03345,38.0
C03402,29.0
C03460,35.0
C03479,22.0
C03511,32.0
C03512,44.0
C03523,6.0
C03541,28.0
C03546,8.0
C03561,38.0
C03617,33.0
C03684,11.0
C03688,NaN
C03723,10.0
C03742,7.0
C03880,30.0
C03885,28.0
C03892,12.0
C03939,3.0
C03972,7.0
C04006,8.0
C04088,8.0
C04121,26.0
C04145,26.0
C04146,23.0
C04153,38.0
C04157,38.0
C04188,10.0
C04225,6.0
C04232,10.0
C04242,16.0
C04246,5.0
C04258,34.0
C04377,36.0
C04405,38.0
C04419,19.0
C04421,9.0
C04432,38.0
C04462,10.0
C04478,12.0
C04494,23.0
C04501,13.0
C04546,5.0
C04574,32.0
C04593,6.0
C04618,6.0
C04619,8.0
C04620,8.0
C04631,30.0
C04633,9.0
C04652,38.0
C04681,18.0
C04688,9.0
C04702,49.0
C04735,9.0
C04738,37.0
C04751,17.0
C04756,14.0
C04823,22.0
C04824,29.0
C04851,67.0
C04877,43.0
C04882,49.0
C04895,19.0
C04919,47.0
C04932,49.0
C05067,38.0
C05116,38.0
C05125,19.0
C05143,13.0
C05167,4.0
C05198,12.0
C05223,8.0
C05258,44.0
C05259,44.0
C05260,43.0
C05261,43.0
C05262,42.0
C05263,42.0
C05264,41.0
C05265,41.0
C05266,40.0
C05267,40.0
C05268,39.0
C05269,39.0
C05271,38.0
C05272,41.0
C05273,41.0
C05275,40.0
C05276,39.0
C05335,7.0
C05336,39.0
C05359,NaN
C05379,6.0
C05381,22.0
C05512,13.0
C05526,14.0
C05527,6.0
C05528,7.0
C05623,18.0
C05668,36.0
C05684,2.0
C05703,0.0
C05712,4.0
C05713,10.0
C05726,6.0
C05729,8.0
C05744,5.0
C05745,5.0
C05746,6.0
C05747,7.0
C05748,7.0
C05749,6.0
C05750,7.0
C05751,8.0
C05752,7.0
C05753,8.0
C05754,9.0
C05755,7.0
C05756,9.0
C05757,10.0
C05758,9.0
C05759,9.0
C05760,10.0
C05761,8.0
C05762,9.0
C05763,10.0
C05764,8.0
C05766,32.0
C05768,25.0
C05770,27.0
C05807,9.0
C05809,24.0
C05810,20.0
C05811,21.0
C05812,22.0
C05819,11.0
C05838,7.0
C05839,12.0
C05841,12.0
C05847,11.0
C05848,10.0
C05892,44.0
C05893,73.0
C05897,75.0
C05898,77.0
C05921,31.0
C05922,20.0
C05923,19.0
C05928,26.0
C05929,30.0
C05946,6.0
C05947,6.0
C05973,11.0
C05998,39.0
C06000,38.0
C06022,33.0
C06024,59.0
C06025,70.0
C06112,39.0
C06113,25.0
C06143,6.0
C06148,19.0
C06157,12.0
C06249,9.0
C06250,16.0
C06251,76.0
C06481,24.0
C06563,10.0
C06714,41.0
C06715,42.0
C06790,3.0
C07645,11.0
C08325,19.0
C08334,10.0
C09099,20.0
C09126,19.0
C09332,24.0
C10208,9.0
C10216,18.0
C11038,18.0
C11039,21.0
C11088,2.0
C11278,30.0
C11439,13.0
C11440,12.0
C11537,7.0
C11551,6.0
C11552,6.0
C11583,21.0
C11826,122.0
C11827,129.0
C11945,40.0
C11946,41.0
C11947,41.0
C13425,17.0
C13645,1.0
C14144,40.0
C14145,41.0
C14786,7.0
C14787,7.0
