cpd,ma
C02342,NaN
C02356,5.0
C02412,23.0
C02430,39.0
C02532,8.0
C02553,27.0
C02554,38.0
C02583,8.0
C02700,12.0
C02702,30.0
C02729,NaN
C02743,8.0
C02839,43.0
C02872,15.0
C02972,8.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03024,NaN
C03028,20.0
C03125,38.0
C03127,39.0
C03161,NaN
C03170,27.0
C03263,24.0
C03344,39.0
C03391,34.0
C03402,29.0
C03511,32.0
C03512,44.0
C03523,6.0
C03633,9.0
C03723,10.0
C03798,9.0
C03800,9.0
C03880,30.0
C03912,6.0
C04051,8.0
C04157,38.0
C04161,NaN
C04188,10.0
C04232,10.0
C04242,16.0
C04250,34.0
C04312,22.0
C04392,32.0
C04421,9.0
C04441,16.0
C04500,31.0
C04524,10.0
C04590,15.0
C04638,21.0
C04646,18.0
C04677,18.0
C04692,15.0
C05125,19.0
C05167,4.0
C05198,12.0
C05269,39.0
C05335,7.0
C05336,39.0
C05359,NaN
C05526,14.0
C05648,13.0
C05651,11.0
C05653,9.0
C05684,2.0
C05688,5.0
C05691,20.0
C05703,0.0
C05774,37.0
C06112,39.0
C06113,25.0
C06196,17.0
C06198,30.0
C06423,6.0
C06481,24.0
C06504,38.0
C06505,32.0
C06506,49.0
C06508,52.0
C07281,9.0
C07282,11.0
C11038,18.0
C11039,20.0
C11475,34.0
C11521,26.0
C11736,12.0
C15494,12.0
C15495,12.0
C15498,1.0
C15602,NaN
C15603,NaN
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15853,6.0
C15854,12.0
C15972,9.0
C15973,8.0
C16237,9.0
C16238,26.0
C16240,0.0
C16241,8.0
C16255,10.0
C16617,21.0
C16636,NaN
C16663,NaN
C16664,NaN
C16720,16.0
C16832,8.0
C17023,NaN
C17324,36.0
C18059,45.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C19692,1.0
C19852,31.0
C19878,10.0
C19879,10.0
C19967,21.0
C19968,19.0
C19969,20.0
C19970,18.0
C20345,8.0
C20641,23.0
C20648,36.0
C20663,12.0
C20688,37.0
C20691,39.0
C20751,42.0
C20752,44.0
C20754,43.0
C20796,36.0
C20847,9.0
C20848,10.0
C20858,9.0
C20864,28.0
C21031,32.0
C21440,9.0
C21466,13.0
C21467,12.0
C21468,11.0
C21652,15.0
C21748,17.0
C21749,20.0
C21750,17.0
C21751,18.0
C22157,0.0
C22158,0.0
C22160,7.0
C22442,18.0
C22443,20.0
C22634,26.0
C22636,60.0
C22639,26.0
