cpd,ma
C01097,10.0
C01134,13.0
C01171,10.0
C01172,10.0
C01185,16.0
C01217,38.0
C01228,20.0
C01233,8.0
C01240,9.0
C01335,0.0
C01336,0.0
C01345,20.0
C01346,16.0
C01352,41.0
C01367,17.0
C01368,15.0
C01419,7.0
C01432,3.0
C01528,1.0
C01563,2.0
C01609,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01640,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01762,14.0
C01764,33.0
C01931,25.0
C01962,6.0
C01977,37.0
C02047,40.0
C02051,9.0
C02090,25.0
C02097,24.0
C02128,19.0
C02133,6.0
C02163,40.0
C02188,9.0
C02282,38.0
C02291,8.0
C02323,6.0
C02342,NaN
C02353,17.0
C02354,17.0
C02355,15.0
C02380,7.0
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02702,30.0
C02713,11.0
C02729,NaN
C02743,8.0
C02749,6.0
C02764,32.0
C02839,43.0
C02876,7.0
C02882,6.0
C02962,10.0
C02967,33.0
C02972,8.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03023,10.0
C03028,20.0
C03089,6.0
C03120,8.0
C03125,38.0
C03127,39.0
C03150,13.0
C03169,10.0
C03170,27.0
C03294,38.0
C03356,9.0
C03391,34.0
C03402,29.0
C03419,9.0
C03446,33.0
C03479,22.0
C03511,32.0
C03512,44.0
C03523,6.0
C03539,11.0
C03541,30.0
C03617,33.0
C03688,NaN
C03723,10.0
C03733,24.0
C03735,10.0
C03785,10.0
C03794,22.0
C03859,NaN
C03880,30.0
C03892,12.0
C03895,11.0
C04051,8.0
C04136,13.0
C04153,38.0
C04157,38.0
C04160,38.0
C04161,NaN
C04203,7.0
C04232,10.0
C04242,16.0
C04257,13.0
C04258,34.0
C04261,15.0
C04309,9.0
C04377,36.0
C04421,9.0
C04454,15.0
C04494,23.0
C04534,15.0
C04646,18.0
C04677,18.0
C04732,11.0
C04823,22.0
C04895,19.0
C05125,19.0
C05167,4.0
C05198,12.0
C05335,7.0
C05336,39.0
C05345,10.0
C05378,10.0
C05382,10.0
C05512,13.0
C05526,14.0
C05684,2.0
C05688,5.0
C05689,6.0
C05691,20.0
C05698,6.0
C05699,8.0
C05703,0.0
C05726,6.0
C05729,8.0
C05822,17.0
C05823,4.0
C05841,12.0
C05922,20.0
C05923,19.0
C05928,26.0
C05929,30.0
C05984,4.0
C06060,NaN
C06112,39.0
C06113,25.0
C06148,19.0
C06187,15.0
C06188,15.0
C06193,18.0
C06194,18.0
C06196,17.0
C06423,6.0
C06481,24.0
C07648,8.0
C09332,24.0
C11039,20.0
C11439,13.0
C11440,12.0
C11736,12.0
C12214,10.0
C12215,8.0
C13378,20.0
C15498,1.0
C15586,13.0
C15587,7.0
C15653,11.0
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15972,9.0
C15973,8.0
C15999,8.0
C16186,11.0
C16237,9.0
C16238,26.0
C16240,0.0
C16241,8.0
C16255,10.0
C16614,9.0
C16615,19.0
C16617,21.0
C16619,18.0
C16633,12.0
C16634,16.0
C16636,NaN
C16663,NaN
C16664,NaN
C16688,15.0
C16698,15.0
C16832,8.0
C17234,5.0
C17322,35.0
C17324,36.0
C18094,22.0
C18096,10.0
C18902,2.0
C19459,12.0
C19722,35.0
C19723,39.0
C20451,35.0
C20463,13.0
C20641,23.0
C20648,36.0
C20751,42.0
C20796,36.0
C20858,9.0
C20864,28.0
C20904,4.0
C20905,5.0
C21031,32.0
C21440,9.0
C21466,13.0
C21467,12.0
C21468,11.0
C21748,17.0
C21750,17.0
C22157,0.0
C22158,0.0
C22160,7.0
C22288,4.0
C22382,12.0
C22395,22.0
C22441,17.0
C22442,18.0
