cpd,ma
C01120,14.0
C01143,10.0
C01167,17.0
C01171,10.0
C01172,10.0
C01194,14.0
C01197,8.0
C01217,38.0
C01228,20.0
C01233,8.0
C01236,10.0
C01277,17.0
C01288,25.0
C01344,19.0
C01345,20.0
C01346,16.0
C01352,41.0
C01370,3.0
C01419,7.0
C01449,15.0
C01525,2.0
C01528,1.0
C01573,16.0
C01609,NaN
C01629,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01640,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01697,5.0
C01832,42.0
C01931,25.0
C01944,40.0
C01977,37.0
C01978,42.0
C01997,10.0
C02031,47.0
C02038,6.0
C02047,40.0
C02075,15.0
C02090,25.0
C02100,27.0
C02128,19.0
C02163,40.0
C02166,27.0
C02189,8.0
C02211,17.0
C02232,41.0
C02282,38.0
C02318,4.0
C02320,12.0
C02336,6.0
C02339,48.0
C02351,5.0
C02374,18.0
C02412,23.0
C02415,9.0
C02430,39.0
C02434,3.0
C02512,6.0
C02553,27.0
C02554,38.0
C02583,8.0
C02588,18.0
C02593,42.0
C02702,30.0
C02729,NaN
C02743,8.0
C02764,32.0
C02839,43.0
C02843,38.0
C02863,14.0
C02872,15.0
C02929,4.0
C02934,8.0
C02953,13.0
C02960,17.0
C02962,10.0
C02965,10.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03028,20.0
C03069,39.0
C03120,8.0
C03125,38.0
C03127,39.0
C03170,27.0
C03193,11.0
C03201,7.0
C03344,39.0
C03356,9.0
C03363,9.0
C03402,29.0
C03451,14.0
C03454,8.0
C03455,20.0
C03463,23.0
C03511,32.0
C03512,44.0
C03523,6.0
C03557,5.0
C03633,9.0
C03684,11.0
C03723,10.0
C03735,10.0
C03740,9.0
C03758,7.0
C03785,10.0
C03798,9.0
C03862,24.0
C03880,30.0
C03881,12.0
C03892,12.0
C03899,15.0
C03959,NaN
C03998,19.0
C04090,NaN
C04155,35.0
C04157,38.0
C04160,38.0
C04212,8.0
C04230,13.0
C04232,10.0
C04233,13.0
C04242,16.0
C04244,12.0
C04248,23.0
C04309,9.0
C04377,36.0
C04395,NaN
C04438,11.0
C04441,16.0
C04475,12.0
C04494,23.0
C04501,13.0
C04506,16.0
C04549,18.0
C04637,17.0
C04646,18.0
C04679,12.0
C04696,40.0
C04748,17.0
C04756,14.0
C04856,30.0
C04899,31.0
C05125,19.0
C05176,12.0
C05202,14.0
C05259,44.0
C05261,43.0
C05263,42.0
C05265,42.0
C05267,40.0
C05269,39.0
C05270,38.0
C05274,40.0
C05335,7.0
C05336,39.0
C05345,10.0
C05378,10.0
C05382,10.0
C05526,14.0
C05578,7.0
C05579,7.0
C05670,3.0
C05673,20.0
C05675,12.0
C05684,2.0
C05689,6.0
C05695,9.0
C05703,0.0
C05711,9.0
C05726,6.0
C05729,8.0
C05844,12.0
C05859,19.0
C05951,21.0
C05973,11.0
C05977,11.0
C05983,20.0
C05993,19.0
C05999,3.0
C06114,9.0
C06124,14.0
C06196,17.0
C06197,31.0
C06409,73.0
C06410,73.0
C06481,24.0
C06715,42.0
C07118,42.0
C07281,9.0
C07282,11.0
C11038,18.0
C11039,20.0
C11736,12.0
C12126,11.0
C12214,10.0
C12215,8.0
C13378,20.0
C14818,1.0
C14819,1.0
C15602,NaN
C15603,NaN
C15647,12.0
C15810,6.0
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15853,6.0
C15854,12.0
C15972,9.0
C16169,45.0
C16173,45.0
C16217,46.0
C16218,44.0
C16255,10.0
C16330,47.0
C16331,46.0
C16334,46.0
C16335,46.0
C16338,46.0
C16339,44.0
C16376,50.0
C16389,49.0
C16466,41.0
C16470,38.0
C16471,40.0
C16617,21.0
C16636,NaN
C16663,NaN
C16664,NaN
C16669,11.0
C16828,7.0
C17202,15.0
C17324,36.0
C17325,35.0
C18096,10.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C19776,11.0
C19803,9.0
C20120,26.0
C20183,20.0
C20641,23.0
C20647,36.0
C20648,36.0
C20663,12.0
C20722,15.0
C20751,42.0
C20796,36.0
C20858,9.0
C20863,24.0
C20864,28.0
C20878,40.0
C20879,39.0
C21031,32.0
C21151,17.0
C21440,9.0
C21640,12.0
C21748,17.0
C21749,20.0
C21750,17.0
C21751,18.0
C21906,52.0
C22441,17.0
C22442,18.0
C22443,20.0
C23006,44.0
C23007,43.0
C23013,54.0
C23016,54.0
C23017,48.0
C23021,44.0
C23022,42.0
