cpd,ma
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01769,4.0
C01898,17.0
C01931,25.0
C01935,15.0
C01977,37.0
C02047,40.0
C02051,9.0
C02090,25.0
C02097,24.0
C02128,19.0
C02163,40.0
C02211,17.0
C02282,38.0
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02659,4.0
C02702,30.0
C02729,NaN
C02730,9.0
C02743,8.0
C02780,6.0
C02839,43.0
C02872,15.0
C02953,13.0
C02967,33.0
C02972,8.0
C02987,38.0
C02988,33.0
C02992,28.0
C03023,10.0
C03024,NaN
C03028,20.0
C03046,3.0
C03103,NaN
C03125,38.0
C03127,39.0
C03161,NaN
C03170,27.0
C03306,10.0
C03356,9.0
C03391,34.0
C03402,29.0
C03431,19.0
C03451,14.0
C03511,32.0
C03512,44.0
C03523,6.0
C03546,8.0
C03586,6.0
C03633,9.0
C03723,10.0
C03735,10.0
C03742,7.0
C03798,9.0
C03862,24.0
C03880,30.0
C03895,11.0
C04006,8.0
C04153,38.0
C04157,38.0
C04232,10.0
C04242,16.0
C04309,9.0
C04311,11.0
C04312,22.0
C04332,15.0
C04377,36.0
C04421,9.0
C04441,16.0
C04501,13.0
C04574,31.0
C04646,18.0
C04692,15.0
C04732,11.0
C04856,30.0
C04899,31.0
C05125,19.0
C05143,13.0
C05167,4.0
C05335,7.0
C05336,39.0
C05345,10.0
C05378,10.0
C05382,10.0
C05526,14.0
C05527,6.0
C05528,7.0
C05623,18.0
C05684,2.0
C05688,5.0
C05691,20.0
C05703,0.0
C05712,4.0
C05713,10.0
C05774,37.0
C05817,10.0
C05838,7.0
C05839,12.0
C05893,74.0
C05894,75.0
C05946,6.0
C05947,6.0
C06112,39.0
C06113,25.0
C06156,10.0
C06196,17.0
C06364,10.0
C06365,17.0
C06369,9.0
C06423,6.0
C06481,24.0
C06504,38.0
C06505,32.0
C06506,49.0
C06508,52.0
C06563,10.0
C06717,18.0
C07281,9.0
C07282,11.0
C07328,3.0
C08249,14.0
C08325,19.0
C08334,10.0
C09099,22.0
C09126,18.0
C10208,9.0
C10216,19.0
C11038,18.0
C11039,20.0
C11477,NaN
C11502,38.0
C12296,6.0
C15498,1.0
C15522,12.0
C15585,NaN
C15653,11.0
C15673,6.0
C15810,6.0
C15811,8.0
C15812,9.0
C15813,23.0
C15853,6.0
C15854,12.0
C15972,9.0
C15973,8.0
C15999,8.0
C16237,9.0
C16238,26.0
C16240,0.0
C16241,8.0
C16255,10.0
C16617,21.0
C16636,NaN
C16663,NaN
C16664,NaN
C16720,16.0
C16832,8.0
C17234,5.0
C17324,36.0
C17509,39.0
C17510,37.0
C17556,33.0
C18060,13.0
C18796,4.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C19787,14.0
C19967,21.0
C19968,19.0
C20258,8.0
C20440,9.0
C20482,30.0
C20483,33.0
C20641,23.0
C20648,36.0
C20663,12.0
C20751,42.0
C20796,36.0
C20858,9.0
C20864,28.0
C20905,5.0
C21031,32.0
C21440,9.0
C21652,15.0
C21748,17.0
C21749,20.0
C21750,17.0
C21751,18.0
C22029,10.0
C22083,85.0
C22157,0.0
C22158,0.0
C22160,7.0
C22442,18.0
C22443,20.0
